0.600	-0.3331005800
0.800	-0.9455906500
0.900	-1.1168440782
1.000	-1.2370918800
1.100	-1.3307507900
1.200	-1.4042212600
1.300	-1.4634008900
1.350	-1.4889086400
1.400	-1.5122025100
1.450	-1.5336533489
1.500	-1.5534632800
1.600	-1.5888359000
1.700	-1.6196839602
1.800	-1.6469145300
2.000	-1.6931609200
2.200	-1.7311503600
2.400	-1.7629554800
2.600	-1.7898798500
2.800	-1.8127989100
3.000	-1.8342187000
3.200	-1.8542645399
3.400	-1.8723011799
3.600	-1.8876933698
3.800	-1.8998058599
4.000	-1.9080034000
