Energy [eV]	Prob. Density [eV^-1]	Frac. Rec. Mom. [a_0^(-1)]
241.47543641439955	0.003710932	18.51446
367.46511864871775	0.003155973	18.44961
493.45480383921915	3.1982618e-05	18.38455
619.4444907657664	5.6456499e-06	18.31927
745.4341798023505	1.8499433e-06	18.25377
871.4238728887578	8.0829244e-07	18.18806
997.4135672617217	4.1776878e-07	18.12212
1123.4032633122326	2.4116583e-07	18.05595
1249.3929629800768	1.505768e-07	17.98956
1375.3826650961162	9.9690251e-08	17.92294
